Common Name,Designation,URL
Tianyi,HR 4863,https://en.wikipedia.org/wiki/7_Draconis
Mekbuda,HR 2650,https://en.wikipedia.org/wiki/Zeta_Geminorum
Kurhah,HR 8417,https://en.wikipedia.org/wiki/Xi_Cephei
Ogma,HD 149026,https://en.wikipedia.org/wiki/HD_149026
Sika,HD 181720,https://en.wikipedia.org/wiki/HD_181720
Illyrian,HD 82886,https://en.wikipedia.org/wiki/HD_82886
Sterrennacht,HAT-P-6,https://en.wikipedia.org/wiki/HAT-P-6
Chara,HR 4785,https://en.wikipedia.org/wiki/Beta_Canum_Venaticorum
Mira,HR 681,https://en.wikipedia.org/wiki/Mira
Khambalia,HR 5359,https://en.wikipedia.org/wiki/Lambda_Virginis
Asellus Borealis,HR 3449,https://en.wikipedia.org/wiki/Gamma_Cancri
Titawin,HR 458,https://en.wikipedia.org/wiki/Upsilon_Andromedae
Anser,HR 7405,https://en.wikipedia.org/wiki/Alpha_Vulpeculae
Belenos,HD 8574,https://en.wikipedia.org/wiki/HD_8574
Bubup,HD 38283,https://en.wikipedia.org/wiki/HD_38283
Meridiana,HR 7254,https://en.wikipedia.org/wiki/Alpha_Coronae_Australis
Segin,HR 0542,https://en.wikipedia.org/wiki/Epsilon_Cassiopeiae
Dziban,HR 6636,https://en.wikipedia.org/wiki/Psi1_Draconis
Pleione,HR 1180,https://en.wikipedia.org/wiki/Pleione_(star)
Salm,HR 8880,https://en.wikipedia.org/wiki/Tau_Pegasi
Beemim,HR 1393,https://en.wikipedia.org/wiki/Upsilon3_Eridani
Piautos,HR 3268,https://en.wikipedia.org/wiki/Lambda_Cancri
Nyamien,WASP-15,https://en.wikipedia.org/wiki/WASP-15
Angetenar,HR 850,https://en.wikipedia.org/wiki/Tau2_Eridani
Gumala,HD 179949,https://en.wikipedia.org/wiki/HD_179949
Alshat,HR 7773,https://en.wikipedia.org/wiki/Nu_Capricorni
Moriah,HAT-P-23,https://en.wikipedia.org/wiki/HAT-P-23
Fafnir,HR 6945,https://en.wikipedia.org/wiki/42_Draconis
Nosaxa,HD 48265,https://en.wikipedia.org/wiki/HD_48265
Terebellum,HR 7597,https://en.wikipedia.org/wiki/Omega_Sagittarii
Koeia,HIP 12961,https://en.wikipedia.org/wiki/HIP_12961
Nasti,HD 68988,https://en.wikipedia.org/wiki/HD_68988
Situla,HR 8610,https://en.wikipedia.org/wiki/Kappa_Aquarii
Arkab Posterior,HR 7343,https://en.wikipedia.org/wiki/Beta2_Sagittarii
Chechia,HD 192699,https://en.wikipedia.org/wiki/HD_192699
Petra,WASP-80,https://en.wikipedia.org/wiki/WASP-80
Meleph,HR 3429,https://en.wikipedia.org/wiki/Epsilon_Cancri
Diya,WASP-72,https://en.wikipedia.org/wiki/WASP-72
Fumalsamakah,HR 8773,https://en.wikipedia.org/wiki/Beta_Piscium
Cujam,HR 6117,https://en.wikipedia.org/wiki/Omega_Herculis
Felixvarela,BD-17 63,https://en.wikipedia.org/wiki/BD%E2%88%9217_63
Uklun,HD 102117,https://en.wikipedia.org/wiki/HD_102117
Azelfafage,HR 8301,https://en.wikipedia.org/wiki/Pi1_Cygni
Kalausi,HD 83443,https://en.wikipedia.org/wiki/HD_83443
Torcular,HR 510,https://en.wikipedia.org/wiki/Omicron_Piscium
Zhang,HR 3903,https://en.wikipedia.org/wiki/Upsilon1_Hydrae
Libertas,HR 7595,https://en.wikipedia.org/wiki/Xi_Aquilae
Berehynia,HAT-P-15,https://en.wikipedia.org/wiki/HAT-P-15
Aldulfin,HR 7852,https://en.wikipedia.org/wiki/Epsilon_Delphini
Tonatiuh,HR 4609,https://en.wikipedia.org/wiki/HD_104985
Tupa,HD 108147,https://en.wikipedia.org/wiki/HD_108147
Moldoveanu,XO-1,https://en.wikipedia.org/wiki/XO-1
Botein,HR 951,https://en.wikipedia.org/wiki/Delta_Arietis
Alasia,HD 168746,https://en.wikipedia.org/wiki/HD_168746
Barnard's Star,GJ 699,https://en.wikipedia.org/wiki/Barnard%27s_Star
Mouhoun,HD 30856,https://en.wikipedia.org/wiki/HD_30856
Amansinaya,WASP-34,https://en.wikipedia.org/wiki/WASP-34
Tupi,HD 23079,https://en.wikipedia.org/wiki/HD_23079
Alcor,HR 5062,https://en.wikipedia.org/wiki/Alcor_(star)
Proxima Centauri,GJ 551,https://en.wikipedia.org/wiki/Proxima_Centauri
Alruba,HR 6618,https://en.wikipedia.org/wiki/Alruba
Elgafar,HR 5409,https://en.wikipedia.org/wiki/Phi_Virginis
Diadem,HR 4968,https://en.wikipedia.org/wiki/Alpha_Comae_Berenices
Amadioha,HD 43197,https://en.wikipedia.org/wiki/HD_43197
Buna,HD 16175,https://en.wikipedia.org/wiki/HD_16175
Tuiren,HAT-P-36,https://en.wikipedia.org/wiki/HAT-P-36
Helvetios,HR 8729,https://en.wikipedia.org/wiki/51_Pegasi
Tevel,HAT-P-9,https://en.wikipedia.org/wiki/HAT-P-9
